"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Benin","BEN","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","3753","3929","4184","4450","4708","4864","5786","6326","6048","6547","7994","10381","11339","12163","13269","13452","13867","14067","13821","13693","13556","13422","13184","12924","13586","13889","15705","16043","16335","17710","19710","21766","19836","25583","28148","31103","","35938","38321","38540","42293","45010","47201","46454","49688","54463","51677","56738","53341","57002","",
"Burkina Faso","BFA","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","2370","2376","2492","2775","2813","2997","3124","3204","3263","3490","3700","3744","4153","4796","5550","6091","5780","6359","7729","8572","8903","9165","9412","10300","12754","14037","","16724","16660","17435","19007","20676","22664","23402","26938","30341","32760","35617","38983","39077","41857","48592","53505","58294","64177","69148","74747","80713","82083","87304","",
"Bangladesh","BGD","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","113673","117275","136508","155742","150267","164717","172448","174384","186144","187504","153859","149909","","171349","189884","189900","190557","191507","191399","186872","189508","","","","","","","","","","","","","","","344806","344914","364494","365925","361450","395281","458389","","","","527798","548201","574001","576887","","","",
"Bulgaria","BGR","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25503","25860","24716","22983","23344","21161","20789","19439","18762","17873","17378","16790","16346","15075","14885","14608","14489","14388","14596","","14876","17393","19225","20668","","",
"Bahrein","BHR","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","1900","1723","1916","2044","2010","2235","2345","2479","2577","2543","2736","2910","2892","2856","2906","2887","2882","3059","3092","3085","3312","3386","3536","","","","","","","","","","","","","","","","7679","8117","8413","8896","9219","9303","9332","9551","9460","9112","",
"Bahamas","BHS","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","707","751","","","1187","1294","1417","","","1218","1261","1151","1555","1565","1561","1767","","","","","","","","1581","1485","","","","2406","","","2029","","2150","","2335","2420","2333","2683","2402","1996","1634","1803","1743","1555","1611","1555","1517","","","",
"Bosnia y Herzegovina","BIH","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9505","9573","9475","9346","9389","9416","9415","9443","",
"Belarús","BLR","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30300","31600","32400","32200","","","31900","32360","32940","32166","30722","27418","26151","23671","22949","22640","23638","23916","23907","23644","23595","23150","22383","22029","22385","22497","22241","22269","22266","",
"Belice","BLZ","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1880","1921","1983","","2274","2109","2127","2245","2268","2299","2325","2367","2391","2486","2329","2321","2548","2552","2630","2566","2623","2598","",
"Bermudas","BMU","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","341","363","354","346","325","","374","319","262","262","312","326","322","316","309","","","","","","","","","","463","","478","","","","536","548","548","560","571","567","","","","608","486","429","573","610","398","420","","","","","",
"Bolivia","BOL","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58441","","","","","","","","","","","","","","82716","80299","79139","78684","77809","77485","76543","76491","",
"Brasil","BRA","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","457406","","","","","","","","","","","","","","","","","","","","","","","","","","","","","807053","815079","858813","867003","877204","887428","886781","","754291","773624","770703","762132","774575","786411","789575","795014","791787","793276","796457","798957","783517","","",
"Barbados","BRB","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","1227","1261","","","","1492","1317","1421","","","","1609","1602","","1553","","","","","","","1395","1393","1422","1471","1460","1416","1469","","1553","1698","1607","1742","1720","","","1665","1560","1553","1446","1445","1398","1476","",
"Brunei Darussalam","BRN","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","1190","1406","1478","1527","1584","1582","1679","1761","1996","1657","1671","1800","1923","2048","2331","2165","2225","","2725","2842","","2543","2561","2646","2772","2924","","","3238","3282","3324","3262","3536","3775","4263","4548","3683","3628","3595","3739","3896","3861","4038","4146","4004","4033","3969","3890","3989","4014","4258","",
"Bhután","BTN","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","436","461","468","","538","","","773","814","897","","","1050","1167","1149","","1321","1398","1513","","","1817","","1859","","1829","","","1986","1946","2068","2234","","","","3203","3503","","3551","3929","4262","4381","4610","3638","","2482","2541","2725","2647","","2941","",
"Botswana","BWA","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","2275","2404","2467","2698","3047","3509","3921","4495","4641","4863","5316","5628","5767","6360","6794","6980","7324","7704","8104","8529","8956","9833","10463","11190","11731","12306","","11454","11654","11950","12135","12370","12531","12678","12717","12884","13012","12989","13045","12964","","","14342","15035","15200","14533","","","","","","14313",
"República Centroafricana","CAF","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","2768","2696","2963","3083","3159","3329","3505","3690","3893","4010","4130","4284","4364","4268","","4718","4544","4563","4226","3581","4004","","","","","","","","","","","","","","4653","","","5827","6427","7553","7974","8267","","","","9756","","","","","",
