"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Asia oriental y el Pacífico","EAS","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","5402027.5","5568697","6118777","6462194.5","6805988","7135578","7449672","7479386","7517720","7597274.5","7891259.5","8114935.5","8313698.5","8395122","8437147","8458489","8509136","8588726","8661747","8762045","8857675","8886534","8865703","8881194","8942780","9041564","9104822","9190983","9244185","9282302","9361799","9323577","9111472","9465768","9776529","9780366","9815991","10010410","9867196","9999732","10077581","10080294","10110434","10323153","10311058","10483479","10747610","10554845","10643623","10920522","11093013","",
"Europa y Asia central (excluido altos ingresos)","ECA","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","914070.25","929482.5625","946153.6875","956293.25","967348.9375","982118","997090.25","1033435.3125","1063522","1085459.125","1116381.25","1144142.875","1188475.25","1226617","1252614.75","1261480.75","1289450.75","1278731.375","1261959.125","1240125.75","1211848.875","1203031.125","1197331.875","1176750.125","1243423.25","1186277.625","1168433.625","1169298.375","1165386.875","1150776.875","1145812.375","1166358.625","1173705.125","1143243.375","1163074.5","1193324.5","1199851.375","1207219.625","1244075.625","1254823.875","1279837.25","",
"Europa y Asia central","ECS","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","2906987","2901531.25","2920617.5","2914944.5","2908698.5","2900585","2887320.25","2890687","2885983.25","2889040.25","2898552.25","2890194.25","2894951.75","2893025","2901726.75","2930639","2953293.25","2972456.5","3006848.25","3034012.75","3075387.25","3132494.75","3177946","3259857.25","3324066","3287632","3347309.25","3346606","3335566","3315320.75","3314903","3319546","3301396.25","3252937","3310571.25","3281152.75","3254172.75","3287800.75","3286255.5","3279749.5","3298951","3324383.5","3304482.5","3262253.75","3287391.25","3365380","3432925","3464126.5","3539685.75","3539196.5","3556657","",
"Ecuador","ECU","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","26609","27471","28380","29569","31054","32279","34999","36783","37665","39830","42415","45459","45225","50347","52733","53683","55568","58326","62451","60608","61039","63845","63347","63500","67446","70162","74601","76770","80176","82809","84758","81021","83736","86012","87247","89115","90366","","90523","96170","97178","94616","88770","84740","79581","77749.203125","78815.90625","79640.9296875","79990.265625","76296.5859375","",
"Egipto, República Árabe de","EGY","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","99918","","","","","118251","126397","124263","127021","137045","","141375","165308","170904","","194929","211092","235586","373572","261613","279315","273055","288891","288939","291400","302916","356499","","345981","345828","352911","349182","354902","362679","373104","376698","368785","","382488","380111","","","","","","509764","511478","533935","530666","","",
"Zona del Euro","EMU","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","1134471.375","1149977","1183837.75","1179782.5","1197212.875","1204192.75","1202453.25","1215029.875","1214250.375","1207906.125","1197460.375","1177400.75","1159297.875","1137032.75","1123324.5","1129078.5","1149609.25","1143325.875","1146865.5","1141833.5","1148955.875","1173332.875","1168085.5","1186081.875","1225696.875","1196440.375","1232969.875","1237143.625","1232045.875","1241252.875","1272022","1277155.125","1288650.375","1285003.875","1286557.125","1314540.125","1328758.625","1361470.5","1371891.875","1379342","1398200.5","1414910.625","1395225","1379964.75","1361572.125","1374416","1399356.375","1410647","1429980.625","1446425.875","1438463.625","",
"Eritrea","ERI","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3163","3035","2895","3647","4954","5272","5583","5828","5476","","5576","6229","6668","7498","7691","8033","7942","7711","6933","7311","7802","7535","7704","8166","8680","8515","8346","8524","8842","9028","","","",
"España","ESP","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","115607","142987","","","","","","","","","127679","129083","133586","135715","","137807","133830","131389","","126132","128034","125828","129130","128559","132566","","","170184","171514","174638","175135","177797","179324","179271","180710","184147","199256","211320","212648","219409","223644","223517","220323","226066","228299","233065","231683","233424","235723","","",
"Estonia","EST","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6580","","","","","8086","8616","8315","","","","","7516","5927","6141","6183","6223","6200","6431","6578","","","7351","7453","7662","7982.23486328125","","",
"Etiopía","ETH","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","13514","15196","17200","18646","20851","24469","26152","28816","29079","30687","33322","37854","42347","46622","48178","50922","56684","58400","65993","65450","68370","68399","69743","75736","83113","89189","92775","109487","","86833","","","","","","","","214811","234215","252232","259636","","","","","","","","","537596","",
"Unión Europea","EUU","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","1992967.75","1990339.25","2017205.25","2012640.625","2029501.875","2037174.5","2029145.875","2036054.375","2029667.125","2023180.75","2008986.875","1983902.25","1973467.875","1963272.75","1963219.5","1979990.5","1988563.75","1971617.75","1973805.875","1979418.625","1986638.875","2011677","2010349.5","2050780","2088914.125","2045400.5","2082827.375","2092241.25","2087647","2083033.875","2104494","2110699.25","2095667.75","2063128.25","2053796.125","2080291.25","2069141.875","2100553","2101016.25","2107272.25","2129572.25","2129255.5","2097849.75","2087721.375","2091328.375","2137490","2196339","2217018.25","2256980.25","2246608.25","2236602.5","",
"Frágiles y situaciones de conflicto afectados","FCS","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","695281.1875","724631.125","760945","791248.9375","814087","832973.125","876498.9375","939676.375","1048889.25","1119299.125","1171290.75","1250104.75","1293629.5","1362691","1393676.5","1391159.375","1378878.875","1386243.125","1420527.125","1478218","1480873.125","1558807.75","1602795.5","1687261.375","1723859.375","1757515.125","1782613.75","1821861.25","1886679","1914693.25","1963567.875","2058204.5","2136282","2282273","2390417","2502622.75","2589997","2602696.5","2711503.25","2856834.5","2998326.25","3234441.75","3242829.25","3573652.25","3706469","3802390","3942532.75","4067917.5","4209093","4290265.5","4371284.5","",
"Finlandia","FIN","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","17360","17427","19273","21248","23235","24494","27414","25096","25142","24834","25949","26664","24752","25139","","","","","","","","","","","","23294","21459","21639","22163","23255","24669","25260","24024","24313","24577","24793","24272","24830","25728","24736","25281","25609","26402","26385","","26996","26633","27152","27433","","",
"Fiji","FJI","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","4150","","","","","","","","","","","4644","","4921","4992","5021","5011","5054","","4079","4125","4107","4028","4029","","","","3939","","","3296","3671","","","","","","","6211","5969","",
"Francia","FRA","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","207386","204311","203056","","230634","232405","","220631","","193353","191847","199445","198800","202348","198922","","","","219182","218019","216962","216938","211192","195850","208607","207216","204727","204287","203418","202954","216411","217017","216654","217428","221717","234098","238141","233262","229471","","","","","243870","246897","","",
"Islas Feroe","FRO","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia (Estados Federados de)","FSM","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","1267","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","698","612","","","612","603","",
"Gabón","GAB","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","2211","2414","2225","2339","2412","2664","2746","2866","3088","3466","3441","3526","3781","3802","3837","4008","4083","4229","4289","","","4782","","","4709","4943","4605","","5107","","5399","6612","7764","","","","","","","","12961","","","","","","","","","","",
"Reino Unido","GBR","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","248908","259757","271074","278609","282793","285786","280315","275564","275020","270346","","250510","245000","243000","244000","","213000","215000","225000","228000","229100","230200","","","","","","","249384","248148","261362","264111","262390","258966","265257","249862","255690","244391","245879","252290","255994","247079","250692.984375","272430","","313648.9375","318533.15625","279097.09375","280504.6875","","",
"Georgia","GEO","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","16944","","","","","17992","","","","","20473","20281","18400","18275","18022","17950","16542","16841","17365","17714","17732","18406","16500","","","","","35860","33511","","","","31595","31428","32001","33020","33398","33998","34555","32616","",
"Ghana","GHA","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","33752","35334","38381","41407","45119","48397","48146","47921","50685","51109","51691","56100","64795","65748","66147","65826","62859","66946","72451","67760","69232","71863","67021","71340","","80323","75799","75087","80552","81459","82833","89278","88461","105257","112443","110508","121304","124359","123153","129599","136878","138928","142520","160939","161538","168546","185715","",
"Gibraltar","GIB","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","169","129","145","150","158","150","161","147","149","157","168","","177","183","","","","","","","","","","","","172","","92","105","115","","","","","","","193","203","","","","","","","204","200","","205","228","",
"Guinea","GIN","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","4381","4424","4478","4524","4599","4977","5028","5626","6608","6843","7165","7723","7902","7867","7947","7605","7493","7239","7849","8113","8699","7374","8577","9718","11658","11875","13234","13883","15512","17340","19244","21125","23859","25361","26897","28296","29049","30933","31810","34451","34861","36731","37687","37938","35940","37680","","","","43914","",
"Gambia","GMB","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","624","613","677","815","864","948","940","1094","1241","1377","1932","","2503","2586","2748","2979","2590","","2604","2504","2757","2876","3193","3158","3370","4118","4391","4312","4610","4664","4701","4806","4985","5313","5616","5392","6219","6429","","6110","6074","7206","7084","6152","7902","","8528","9694","10101","10780","",
"Guinea-Bissau","GNB","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","616","630","","","","2163","","","2878","3102","3257","3315","3363","3303","3085","","3121","3065","","","","","","","","","","","","3405","","","","","","4327","","","","5371","","","","","","","","","","","",
"Guinea Ecuatorial","GNQ","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","630","","","","","","770","647","664","","","","","","","","","","","1352","1381","","","","","1322","1691","1810","","2307","","","","","2900","3403","3131","3111","3517","","","4021","","","","","","",
"Grecia","GRC","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","29336","29330","28212","29773","30458","30953","32629","34664","35735","36246","37315","37947","37310","36825","37942","37994","37947","39125","40370","42485","43599","42991","42045","43789","44168","45128","46785","47662","47684","48104","50012","51606","54599","58395","58777","61251","62114","","","","","69227","66735","66551","66755","69716","69214","70598","74311","","",
"Granada","GRD","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","800","884","816","764","","","633","610","608","587","776","760","764","775","756","","821","806","","763","","799","831","856","860","869","878","859","872","796","765","","888","895","791","","871","615","830","851","","","875","902","791","854","832","807","","725","",
"Groenlandia","GRL","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","14058","14637","15324","16163","17232","18129","19045","19707","20683","21811","23770","23900","24456","25862","26963","27809","29313","31441","","","","36757","37677","44220","50756","43731","43403","45010","47475","47816","58641","65708","68901","","73835","75519","77701","80418","84980","95194","98763","100600","100081","105618","105188","","108113","116396","116577","116490","","",
"Guam","GUM","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","713","730","848","","810","919","916","","890","900","905","900","890","870","","840","840","835","775","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","4485","","","4077","","4052","4335","4460","4215","4003","3909","3493","3489","3257","3284","","","","","","3509","3657","3669","3453","3417","3345","3461","","4022","4153","4202","","4174","","4164","","4173","4204","3942","4031","4012","4079","","","","","","","","","",
"Ingreso alto","HIC","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","4475145.5","4476853","4507586.5","4531981","4509500","4486705","4443621.5","4428858","4413950.5","4393903.5","4531890","4510142","4532167.5","4502399","4485312.5","4483195","4502167","4487185.5","4511723.5","4552040.5","4600595.5","4635233","4651859","4691757.5","4778795","4785828.5","4823250.5","4849941","4847783","4909537.5","4997571.5","5044251.5","5052359","5071635.5","5127727.5","5179353.5","5217326.5","5284106","5337114.5","5321894","5352080","5369884.5","5340211","5348593.5","5368956","5422737.5","5497539.5","5541367","5528934.5","5495270","5520984.5","",
"Hong Kong, Región Administrativa Especial","HKG","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","22383","22953","22538","22093","21641","20666","19695","19073","18321","18045","17937","17864","19388","19431","19621","19404","19361","19625","19813","","19518","19346","18790","19122","","19710","","21351","22123","23107","23611","24663","24657","25200","24591","24207","24468","23565","23278","22984","22596","22599","22916","23407","24339","24931","25599","27400","28522","29312","",
"Honduras","HND","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","10816","10957","11354","11712","12302","13045","13649","14279","14479","14502","16385","15724","17930","18966","19155","","20732","","","","25539","23872","26736","26561","28888","28978","31337","31838","32519","34069","32144","","","","38212","42260","46308","","38283","37370","","","","","","39599","40362","43908","","44007","","",
"Países pobres muy endeudados (PPME)","HPC","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","441480.65625","453580.65625","467172.1875","491762.71875","510963.78125","538601.875","577554.5","615040.8125","663836","706883.25","735251.75","765634.5","791105.3125","828681.8125","861414.9375","884582.25","930775.6875","942527.5","961455.75","977350.6875","970439.75","1009090.75","1039249.125","1065488.375","1077949.5","1132926","1162687.25","1210041.25","1253932.875","1307681.125","1336814.25","1410749.5","1516504.125","1603221.25","1729169.5","1846407.875","1992401.5","2109132","2259085.5","2345321","2479979.25","2550682.25","2716225.75","2837726","2977136","3088325.75","3236076.5","3363268.5","3519490.25","3624876.5","3748522.75","",
"Croacia","HRV","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10605","10762","10365","10568","10605","10707","10770","10832","","11198","11415","11423","11373","11782","11746","11726","11696","11688","11741","11849","12033","","12444","12546","","",
"Haití","HTI","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","7833","7472","8074","10265","11320","11816","12953","12554","12751","13472","14581","14927","16986","18483","20311","23200","21102","","","","","25605","32285","34310","36460","38743","41160","44472","","","","","","","","","","","","","","","","","","","","","","","",
"Hungría","HUN","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52584","44585","","41813","46872","47260","46777","46475","46497","48393","42643","41230","40580","39706","37844","37108","36675","36716","36719","37054","34955","36029","36632","","","37681","","",
"Sólo BIRF","IBD","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","9072657","9310829","9894368","10319417","10708130","11105753","11474611","11650312","11683122","11891581","12345913","12715769","13107593","13444168","13699849","13880425","14300450","14306348","14611271","15110379","15258517","15388122","15511914","15742854","15943259","16258143","16389202","16450949","16595992","16594608","16792136","16820566","16638735","17172738","17624564","17727104","17788714","18078142","18128170","18322044","18547862","18690128","18904944","19608882","19636646","19863362","20238740","19919326","19867814","20473338","20974646","",
"BIRF y la AIF","IBT","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","10152891","10435699","11093627","11575343","12021658","12481949","12917191","13183430","13367820","13696728","14188058","14654868","15140587","15597838","15928469","16123750","16565725","16589818","16956484","17530172","17697684","17944226","18185360","18537718","18803892","19206016","19436632","19609356","19869810","19947186","20214570","20359952","20288410","21035162","21643124","21884866","22054310","22422530","22624720","23015368","23466854","23929388","24205842","25332908","25593914","25970714","26595052","26507696","26679514","27374136","28008968","",
"total de la AIF","IDA","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","1093074.25","1137743.625","1211979.875","1267382.5","1324688","1386988.125","1453010.875","1543279.625","1694764.875","1815323.375","1852599.375","1947448.125","2044221.75","2165355.5","2240708.5","2255702.75","2275333.25","2296477","2358771.75","2431687.25","2452136.5","2570342.75","2688447","2809529.75","2875240.5","2962906.75","3063706.5","3175079.75","3292798.25","3368161.75","3438213","3554663.5","3664813","3877238.5","4032196.75","4171383.5","4279142","4357936","4509870.5","4707218.5","4933756.5","5254061","5314890.5","5737468","5970139","6119732","6368717.5","6600603","6824063.5","6913095.5","7047197","",
"mezcla de la AIF","IDB","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","347901.46875","369435.09375","401971.125","416993.53125","459408.375","477336.65625","489295.03125","530481.4375","608232.1875","673423.8125","704945.375","770535.8125","824248.875","876233.4375","877664.0625","858778.4375","819601.875","819240.125","845863.125","898522.3125","896354.25","941541.3125","1002934.625","1075964.75","1107641.25","1120548.5","1149736","1188699.875","1232142.75","1238004.75","1279673.875","1312128","1312918.125","1442661.625","1454071.375","1476623.375","1429753.875","1371907.125","1366029.375","1454229.625","1506946.875","1657782.125","1526322.125","1837343.25","1884066.5","1889328.125","1931919.125","1999178.25","2073691.875","2052689.375","2049247.625","",
"Indonesia","IDN","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","514007","534800","548424","556652","573061","603327","618818","549519","592439","","","787400","855876","971893","1056447","1131271","1181807","1223387","1251900","1278889","1286286","1281407","1261089","1276217","1296103","1311571","1317976","1327178","1341753","1334213","1288965","1289720","1383914","1431486","1447984","1427974","1525400","1583589","1425828","1511977","1595955","1615479","1655764","1870834","1801909","","2106887","1827213","1727377","1771614","","",
"Sólo AIF","IDX","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","732332.8125","755435.125","797288.4375","838932.6875","854119.1875","898859.8125","953285.1875","1002636.3125","1076465.375","1131723.75","1137199","1168563.375","1208745.375","1277436.625","1350955.75","1384546.5","1445673.375","1464229.625","1499350.25","1521270.5","1542814","1614563.5","1670511.375","1718899.5","1752991.125","1827324.375","1897694.375","1969706.875","2041675.75","2114573","2142760.25","2227257.5","2336757","2419760.75","2564489.25","2681138","2835842","2972482.5","3130520","3239095","3412045.25","3581478.75","3774576.25","3886681.75","4073201.5","4218024","4424392.5","4589190.5","4738010","4848110","4985074.5","",
"Isla de Man","IMN","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","1376176","1413221","1467031","1484589","1546696","1559137","","","1599182","","","","","","","","","","","","","","","","","","","","2774647","2840314","2835044","2832912","3038204","","","","","","","","3918312","","4367637","4404451","4398590","","4373417","","4339390","4600165","",
"No clasificado","INX","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Irlanda","IRL","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","13397","13060","13076","13242","13803","14233","14636","14829","15117","15484","15521","15674","15852","15880","15393","15513","15614","15775","16212","16212","16339","16311","16202","18002","21148","","21865","22979","23972","24792","25416","26833","29852","30697","31549","32043","32848","32267","","","","","","","","","",
"Irán, República Islámica del","IRN","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","105295","103130","97071","120017","135021","152106","167457","154577","","","","192719","280649","297298","307718","309736","258062","264398","276438","","298759","312273","311839","311531","305380","291886","290877","298103","326990","316939","314654","308105","297711","294098","285460","274922","267516","268430","277991","","","","306282","287096","286477","293043","286476","","","","",
"Iraq","IRQ","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","49822","54302","54979","58455","57621","69812","70663","78060","87148","92603","94000","98422","107479","112428","115642","118442","123310","119280","130777","","134081","120063","131271","","","145455","","","141479","170141","","","220366","211136","","","286890","","","","","","","","","","","","","","",
"Islandia","ISL","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","1383","1431","1466","1466","1379","1380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3034","2960","3001","2991","2999","","","3171","3282","","",
"Israel","ISR","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","29195","32657","34579","35838","37210","39401","41468","42068","42395","42536","42900","41943","41199","37623","38798","37627","40571","43248","47299","48010","","","","","50090","49863","50982","51769","53222","54119","55458","55164","57666","59062","60155","61830","65705","","70045.15625","71134.9921875","73103.7265625","74272.9375","","77428","78939.8671875","","",
"Italia","ITA","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","224646","229991","236691","245628","250523","255267","271307","271747","269279","275199","273744","279082","276716","281311","276553","273800","267065","263101","258535","257961","265553","255429","251621","279604","256756","251827","","258929","253736","258827","262675","263421","256650","260769","264061","264378","273113","","","","","","237735","237214","237483","254572","252806","252933","251885","","",
"Jamaica","JAM","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","8053","9471","","","9417","","9889","","8453","8783","8676","","10699","10358","10051","9648","9467","9888","10251","10076","","","","","","","","","","","","","10968","12032","","","","","","","12380","12409","12842","12055","11806","11180","11172","10036","11347","11292","",
"Jordania","JOR","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","7150","7798","8518","9418","10418","11136","11661","12757","13374","13934","14303","14891","14873","15179","15799","16979","18448","19133","20265","","23340","","","","27922","","","29232","","","","38204","39441","","","","","","","","","","","57946","","57162","52598","61174","70057","65410","",
"Japón","JPN","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","364906","381608","388445","395062","406347","402553","411379","419958","432222","462343","470991","477101","478349","476991","471724","464173","457767","452220","449347","454109","452849","453379","440769","461729","464431","430958","425714","371066","366550","363880","362605","365540","371688","378950","382738","386443","390542","391967","396388","399424","401773","405144","406511","408247","410355","414683","417071","422724","431048","","",
"Kazajstán","KAZ","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","44700","","","50500","56274","60942","64089","66734","65805","67203","63869","59348","58095","","","63569","61294","60509","60203","59293","58014","57340","57473","57962","58957","60252","62285","64124","66578","73827","68663","65356","71641","84896","90047","",
"Kenya","KEN","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169410","148469","146205","149501","142392","152828","149893","144744","146879","159407","157843","165002","","","142345","","260197","266511","","","","","","",
"Kirguistán","KGZ","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","11000","","","","","17900","","","","","16514","","","","","24086","","","19234","19284","18783","18860","18376","18341","17729","17781","16824","16524","16332","16089","15691","16959","17072","17175","17226","18770","20110","21154","21484","21919","",
"Camboya","KHM","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","20046","","20374","","","","","","","","30316","31884","34859","35479","35878","35080","36754","37292","36930","36533","40820","","","37616","37827","","43205","43282","44542","44852","45914","48476","49293","50186","50654","51212","48736","48223","46658","46905","47033","48002","47413","47691","47866","49511","50684","51490","51578","51486","",
"Kiribati","KIR","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","531","371","","449","418","435","429","429","435","447","450","453","471","460","467","455","459","507","514","533","545","537","542","624","732","727","720","581","460","664","660","596","633","654","606","639","645","","","","","","614","","656","655","","","704","",
"Saint Kitts y Nevis","KNA","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","331","","","","357","339","353","266","263","331","346","363","350","","378","368","","","320","","356","355","386","368","367","360","","372","401","443","443","459","385","385","401","362","393","","","","","",
"Corea, República de","KOR","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","101095","103756","105672","107259","107436","108126","109530","112997","115245","117290","119064","122727","124572","126163","126233","126785","126677","130142","132527","134898","136800","138207","138945","139096","138369","137912","122743","124412","122449","125477","128018","132716","139057","142153","144338","147728","149945","152891","155554","158056","164820","165536","165615","165786","164415","164354","164663","165837","166710","","",
"Kuwait","KWT","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","3555","4084","4580","5053","5729","6360","7269","7920","7947","7722","8035","8385","8346","8968","9448","9623","9690","10099","10288","10310","7034","6967","7526","8229","9021","9747","10180","10798","10389","10176","10489","10940","11594","12321","16815","20056","22016","22895","24605","25520","25983","26775","27801","28610","29810","30635","31081","31524","33015","34105","",
"América Latina y el Caribe (excluido altos ingresos)","LAC","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","1200904.375","1259787.875","1295949.375","1341759.75","1389291.875","1415431.5","1435509.625","1495369.75","1550089.25","1642718.5","1680887.5","1716582.375","1784137.5","1814758.125","1894150.25","1922131.25","2122550","2006665.625","2082283.75","2094059.75","2175073.5","2148302","2210789.25","2267327.5","2338560.5","2517567.75","2574006","2502560.5","2578511","2478811","2527860.25","2618573.5","2665628","2685485.25","2669058","2686215.25","2651852","2607732.75","2632785.25","2640622","2656179.5","2666400","2689050.5","2740729.25","2742379.75","2740515.75","2737545.25","2751002.5","2756894.25","2752863.75","2779365.5","",
"República Democrática Popular Lao","LAO","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","6796","7038","7340","","","11848","13898","14218","14416","14983","16109","16130","16454","17789","18070","21033","","20384","","19970","21039","21036","21652","22649","23455","24455","25831","26382","27083","27592","27665","28545","28571","28150","28299","28741","29604","29541","31176","31782","33576","32586","34311","34619","35206","36069","36204","35199","35891","34743","",
"Líbano","LBN","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","22646","22810","","","","","","","","","","","","","","","","","29034","28393","27464","27586","27163","32972","32646","33117","33202","32875","33302","32649","32112","31816","39149","39017","","39967","40256","","40600","40911","",
"Liberia","LBR","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6586","10055","12966","","","","","","17460","","22237","22120","","25137","","","25812","22479","30434","28468","","","","",
"Libia","LBY","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","12304","14421","17767","20580","22842","24331","28627","26182","30946","32168","36591","","42696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Santa Lucía","LCA","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","888","829","892","919","953","947","953","999","942","957","1012","985","1084","1107","1084","1103","1066","1082","1137","1127","1181","1204","1174","1142","1180","1214","1175","1168","1091","1052","1091","1103","1050","1073","1022","969","978","1011","1051","1071","1054","1065","1216","1088","1087","1054","1077","1081","1077","",
